Date/Time,Duration,Calling Number,Called Number,Final Called Number,Duration
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,42101,42000,42000,0
12/31/69 16:00:00,0:00:00,42101,42000,42000,0
12/31/69 16:00:00,0:00:00,42101,42000,42000,0
12/31/69 16:00:00,0:00:00,42101,42000,911,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+011442030276666,42101,42101,0
12/31/69 16:00:00,0:00:00,+85227685555,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,42101,51111,51111,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,011442030276666,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+185151111,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,911,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,9725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,6506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,6506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,+1650606506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+911,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,6506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+185151111,42101,42101,0
12/31/69 16:00:00,0:00:00,4085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101,0
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101,0
12/31/69 16:00:00,0:00:00,+85225353333,42101,42101,0
12/31/69 16:00:00,0:00:00,+1650606506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,+85227685555,42101,42101,0
12/31/69 16:00:00,0:00:00,+1650606506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,+16506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,+16506031212,42101,42101,0
12/31/69 16:00:00,0:00:00,42101,6506031212,6506031212,0
12/31/69 16:00:00,0:00:00,42101,6506031212,6506031212,0
12/31/69 16:00:00,0:00:00,42101,116506031212,116506031212,0
